regime,cost_ratio,best_adaptive_policy,accuracy,recomputed_avg_cost,gain_vs_rg
math500_100,1:1.5,adaptive_policy_v5,0.6600,1.3550,0.0200
math500_100,1:2,adaptive_policy_v5,0.6600,1.7100,0.0200
math500_100,1:3,adaptive_policy_v5,0.6600,2.4200,0.0200
hard_gsm8k_100,1:1.5,adaptive_policy_v5,0.8600,1.2650,0.0700
hard_gsm8k_100,1:2,adaptive_policy_v5,0.8600,1.5300,0.0700
hard_gsm8k_100,1:3,adaptive_policy_v5,0.8600,2.0600,0.0700
hard_gsm8k_b2,1:1.5,adaptive_policy_v5,0.9100,1.2050,0.0800
hard_gsm8k_b2,1:2,adaptive_policy_v5,0.9100,1.4100,0.0800
hard_gsm8k_b2,1:3,adaptive_policy_v5,0.9100,1.8200,0.0800
gsm8k_random_100,1:1.5,adaptive_policy_v6,0.9200,1.0900,0.0200
gsm8k_random_100,1:2,adaptive_policy_v6,0.9200,1.1800,0.0200
gsm8k_random_100,1:3,adaptive_policy_v6,0.9200,1.3600,0.0200
